image_path,true,pred,top1,top2
data/balanced_augmented_dataset/test/Greenstick/Greenstick_13_mri_0_5388_jpeg.rf.d1d46273fa017058bcc9f46082f918b9_0012.jpg,1,0,0,0
data/balanced_augmented_dataset/test/Oblique/Oblique_9_jpg.rf.4a2eecbaf02555d48ef01a5e9f9932e8_0005.jpg,3,7,7,7
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_185_jpg.rf.296574d4d73b3b275f98485e55929b36_0015.jpg,4,7,7,7
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_134_jpg.rf.afc3aa7bb9317657032c1dd9ad21bb58_0001.jpg,4,7,7,7
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_5_jpg.rf.d4f1d168998b27496281d8000f5b56bf_0006.jpg,4,7,7,7
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_26_jpg.rf.9fd8e961b12f19ff793e75331f9b7753_0004.jpg,4,7,7,7
data/balanced_augmented_dataset/test/Oblique_Displaced/Oblique_Displaced_153_jpg.rf.377dd7ac02acd51e04cd3613b0816efe_0008.jpg,4,7,7,7
data/balanced_augmented_dataset/test/Transverse/Transverse_86_jpg.rf.b8e18505035a64082a0c06ee4ed33db6_0014.jpg,6,4,4,4
data/balanced_augmented_dataset/test/Transverse/Transverse_1_jpg.rf.7cb5b0dcc7238ca93c479d93284daa01_0008.jpg,6,4,4,4
data/balanced_augmented_dataset/test/Transverse/Transverse_15_jpg.rf.790af0f8086e2c9f31f49d4a99e32a5f_0010.jpg,6,7,7,7
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_69_jpg.rf.2719c75f64f1281b6d2fde87672137b5_0015.jpg,7,4,4,4
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_122_jpg.rf.0098daba0e5d1d4e575c91f2482b8649_0000.jpg,7,1,1,1
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_58_jpg.rf.e57b879814d534f08d75dc5b34737dcd_0004.jpg,7,0,0,0
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_149_jpg.rf.db6198d03b6a213a007469309023a78b_0016.jpg,7,6,6,6
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_133_jpg.rf.9d048606cd0939e5f74503f9e42f5f26_0012.jpg,7,2,2,2
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_132_jpg.rf.cd34131e4299cef2bba36b8c1596c8b3_0010.jpg,7,3,3,3
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_208_jpg.rf.6d15d106ec4ad93215fe1b0981dacc35_0005.jpg,7,6,6,6
data/balanced_augmented_dataset/test/Transverse_Displaced/Transverse_Displaced_85_jpg.rf.32697d7d2444a34a01b41f290e609cd5_0009.jpg,7,1,1,1
